Force,Displacement,,,,,,,,,,,
0.0000000199999998784506,0.0000000143235272531683,,,,,,,,,,,
0.0000000399999997569012,0.00000000189966975483458,,,,,,,,,,,
0.0000000699999986863986,0.000000000170256794773671,,,,,,,,,,,
0.000000114999998857002,0.0000000000168336629358112,,,,,,,,,,,
0.00000018250000266562,0.00000000000168187675158443,,,,,,,,,,,
0.000000283750011931261,0.000000000000168123774992902,,,,,,,,,,,
0.000000435624997408013,0.0000000000000168038411012478,,,,,,,,,,,
0.00000066343750404485,0.00000000000000167911068079188,,,,,,,,,,,
0.00000100515626400011,0.000000000000000167720107148207,,,,,,,,,,,
0.00000151773440393299,0.0000000000000000167433647884635,,,,,,,,,,,
0.0000022866015569889,0.00000000000000000167003960643639,,,,,,,,,,,
0.00000343990245710302,0.00000453219217888545,,,,,,,,,,,
0.00000516985346621368,0.0000115158145490568,,,,,,,,,,,
0.00000716985368853784,0.0000166448189702351,,,,,,,,,,,
0.000009169853910862,0.0000285513615381205,,,,,,,,,,,
0.0000111698536784388,0.0000550272925465833,,,,,,,,,,,
0.0000131698534460156,0.000078409408160951,,,,,,,,,,,
0.0000151698532135924,0.0000965312356129289,,,,,,,,,,,
0.0000171698538906639,0.000112028334115166,,,,,,,,,,,
0.0000191698527487461,0.000160296665853821,,,,,,,,,,,
0.0000211698534258176,0.000202283437829465,,,,,,,,,,,
0.0000231698541028891,0.000236848019994795,,,,,,,,,,,
0.0000251698529609712,0.000267016992438585,,,,,,,,,,,
0.0000271698536380427,0.000310271338094026,,,,,,,,,,,
0.0000291698543151142,0.000375430710846558,,,,,,,,,,,
0.0000311698531731963,0.000435538968304172,,,,,,,,,,,
0.0000331698538502678,0.000483563548186794,,,,,,,,,,,
0.0000351698545273393,0.000525297946296632,,,,,,,,,,,
0.0000371698552044109,0.000606349029112607,,,,,,,,,,,
0.0000391698522435036,0.000685042352415621,,,,,,,,,,,
0.0000411698529205751,0.000756002322304994,,,,,,,,,,,
0.0000431698535976466,0.000818168045952916,,,,,,,,,,,
0.0000451698542747181,0.000880136096384376,,,,,,,,,,,
0.0000471698549517896,0.000980339013040066,,,,,,,,,,,
0.0000491698519908823,0.00108220998663455,,,,,,,,,,,
0.0000511698526679538,0.00116496626287699,,,,,,,,,,,
0.0000531698533450253,0.00124145217705518,,,,,,,,,,,
0.0000551698540220968,0.00133513449691236,,,,,,,,,,,
0.0000571698546991684,0.00145150464959443,,,,,,,,,,,
0.0000591698517382611,0.00156519410666078,,,,,,,,,,,
0.0000611698560533114,0.00166319590061903,,,,,,,,,,,
0.0000631698567303829,0.00175087957177311,,,,,,,,,,,
0.0000651698501314968,0.0018786647124216,,,,,,,,,,,
0.0000671698508085683,0.00201333337463439,,,,,,,,,,,
0.0000691698514856398,0.00213779881596565,,,,,,,,,,,
0.0000711698521627113,0.00224872282706201,,,,,,,,,,,
0.0000731698528397828,0.00234695198014379,,,,,,,,,,,
0.0000751698535168543,0.00249913171865046,,,,,,,,,,,
0.0000771698541939259,0.00266080489382148,,,,,,,,,,,
0.0000791698548709974,0.00279732793569565,,,,,,,,,,,
0.0000811698555480689,0.00292132725007832,,,,,,,,,,,
0.0000831698562251404,0.00304907676763833,,,,,,,,,,,
0.0000851698569022119,0.00322349090129137,,,,,,,,,,,
0.0000871698503033258,0.00340149225667119,,,,,,,,,,,
0.0000891698509803973,0.00354526238515973,,,,,,,,,,,
0.0000911698516574688,0.00368084339424968,,,,,,,,,,,
0.0000931698523345403,0.00384841160848737,,,,,,,,,,,
